magnet,cell_i,cell_j,sample,t_s,x_mm,y_mm,z_mm,Bx_uT,By_uT,Bz_uT,Babs_uT,Bbx_uT,Bby_uT,Bbz_uT,ax_g,ay_g,az_g,tilt_deg,gain_idx,qmc
m1,1,2,2,0.23,0.000,-40.000,0.000,-110.6141,-51.1746,63.5705,137.4610,-127.4283,27.1650,-43.8133,-1.83028,-2.79121,-2.23871,123.850,0,1
m1,1,2,3,0.425,0.000,-40.000,0.000,-110.0280,-51.8768,63.0529,137.0147,-126.6617,27.6400,-44.3383,-1.82540,-2.79243,-2.24298,123.914,0,1
m1,1,2,4,0.634,0.000,-40.000,0.000,-108.9162,-53.5337,60.9585,135.8107,-124.7200,29.7483,-44.7717,-1.82967,-2.79853,-2.24908,123.927,0,1
m1,1,2,5,0.834,0.000,-40.000,0.000,-108.9371,-53.8250,61.3356,136.1120,-124.9283,30.1233,-44.8550,-1.84493,-2.79182,-2.25214,123.941,0,1
m1,1,2,6,1.054,0.000,-40.000,0.000,-108.7841,-52.4807,60.4457,135.0625,-124.3867,29.9567,-43.2717,-1.84127,-2.77961,-2.25092,124.024,0,1
m1,1,2,7,1.25,0.000,-40.000,0.000,-109.4118,-52.7812,60.3962,135.6631,-124.8867,29.4567,-44.0467,-1.81868,-2.81013,-2.26313,124.063,0,1
m1,1,2,8,1.445,0.000,-40.000,0.000,-110.1537,-52.8525,59.8713,136.0580,-125.3033,29.9150,-43.7717,-1.80586,-2.80586,-2.26190,124.132,0,1
m1,1,2,9,1.655,0.000,-40.000,0.000,-108.9968,-52.2778,60.2548,135.0700,-124.4700,29.5817,-43.3133,-1.82173,-2.78205,-2.25214,124.108,0,1
m1,1,2,10,1.865,0.000,-40.000,0.000,-110.0586,-51.8200,59.3916,135.3720,-125.0117,29.7900,-42.5467,-1.81929,-2.81074,-2.26618,124.092,0,1
m1,2,2,1,0.026,40.000,-40.000,0.000,-72.1691,-45.9448,12.7392,86.4962,-70.0950,45.4483,-22.4217,-1.82540,-2.79548,-2.24603,123.930,0,1
m1,2,2,2,0.233,40.000,-40.000,0.000,-72.9108,-46.7606,13.0066,87.5883,-70.8283,46.0983,-23.0217,-1.85043,-2.82418,-2.25641,123.754,0,1
m1,2,2,3,0.442,40.000,-40.000,0.000,-73.0303,-46.5963,12.6384,87.5463,-70.9117,45.9733,-22.8550,-1.81807,-2.81624,-2.25946,123.982,0,1
m1,2,2,4,0.636,40.000,-40.000,0.000,-73.8300,-46.5925,12.8145,88.2380,-71.6200,46.3483,-22.5467,-1.82112,-2.79365,-2.24176,123.910,0,1
m1,2,2,5,0.845,40.000,-40.000,0.000,-72.4909,-46.0262,13.4398,86.9136,-70.7033,45.1983,-22.6300,-1.81990,-2.78022,-2.25031,124.106,0,1
m1,2,2,6,1.04,40.000,-40.000,0.000,-73.9085,-46.7670,12.8781,88.4051,-71.7450,46.4733,-22.5467,-1.81380,-2.78083,-2.25153,124.143,0,1
m1,2,2,7,1.237,40.000,-40.000,0.000,-73.4111,-46.0016,12.1712,87.4842,-71.0367,46.0567,-22.0467,-1.81685,-2.81441,-2.25458,123.942,0,1
m1,2,2,8,1.46,40.000,-40.000,0.000,-73.6931,-46.9126,12.3054,88.2207,-71.2867,46.9067,-22.3800,-1.81502,-2.78022,-2.25153,124.142,0,1
m1,2,2,9,1.657,40.000,-40.000,0.000,-73.7654,-46.4144,11.5873,87.9199,-71.1617,46.7400,-21.9383,-1.80403,-2.80952,-2.26496,124.152,0,1
m1,2,2,10,1.865,40.000,-40.000,0.000,-75.0001,-46.7933,12.7545,89.3157,-72.5950,47.0317,-22.2550,-1.82967,-2.79426,-2.24237,123.876,0,1
m3,0,0,1,0.006,-40.000,40.000,0.000,76.7664,11.4420,180.1735,196.1797,-11.4617,-160.5700,-112.1267,-1.68437,-2.65995,-2.09890,123.690,0,1
m3,0,0,2,0.227,-40.000,40.000,0.000,76.5951,12.5609,177.7760,193.9817,-12.0700,-159.3200,-110.0017,-1.73871,-2.68987,-2.12759,123.595,0,1
m3,0,0,3,0.437,-40.000,40.000,0.000,75.8058,13.8260,175.6841,191.8400,-11.3367,-157.9450,-108.2933,-1.74542,-2.70879,-2.16056,123.841,0,1
m3,0,0,4,0.647,-40.000,40.000,0.000,77.0281,13.4132,177.5278,193.9829,-11.9450,-159.9200,-109.1433,-1.74725,-2.69231,-2.12515,123.510,0,1
m3,0,0,5,0.858,-40.000,40.000,0.000,76.0729,12.3567,175.4150,191.5991,-11.2117,-157.0450,-109.1850,-1.74725,-2.70574,-2.15324,123.764,0,1
m3,0,0,6,1.067,-40.000,40.000,0.000,77.6265,10.4611,175.0009,191.7306,-10.5867,-157.7783,-108.4183,-1.70024,-2.63248,-2.02930,122.925,0,1
m3,0,0,7,1.277,-40.000,40.000,0.000,75.0972,7.0590,176.6257,192.0574,-11.1283,-157.1283,-109.8767,-1.61172,-2.59524,-1.96093,122.696,0,1
m3,0,0,8,1.487,-40.000,40.000,0.000,73.2976,6.7455,172.1674,187.2423,-8.2950,-153.4033,-107.0433,-1.55250,-2.58852,-1.94872,122.847,0,1
m3,0,0,9,1.684,-40.000,40.000,0.000,72.7201,9.7386,170.7444,185.8405,-8.9617,-153.0033,-105.1017,-1.60806,-2.63492,-2.02137,123.218,0,1
m3,0,0,10,1.909,-40.000,40.000,0.000,74.6500,9.8264,172.4184,188.1417,-9.7367,-154.7783,-106.5183,-1.63126,-2.60806,-2.00366,123.078,0,1
m3,1,0,1,0.004,0.000,40.000,0.000,122.0555,-132.3302,295.0483,345.6333,-20.4033,-167.5033,-301.6433,-1.69658,-2.70940,-2.14774,123.895,4,1
m3,1,0,2,0.216,0.000,40.000,0.000,124.7495,-133.8092,292.5861,345.0710,-19.9033,-167.6033,-300.9767,-1.70940,-2.67949,-2.09585,123.402,4,1
m3,1,0,3,0.423,0.000,40.000,0.000,124.1296,-130.3668,294.2066,344.9075,-20.5700,-168.7367,-300.1100,-1.73443,-2.71795,-2.15446,123.751,4,1
m3,1,0,4,0.633,0.000,40.000,0.000,127.5966,-126.8733,289.6870,341.0224,-16.1700,-168.7367,-295.9100,-1.73504,-2.70208,-2.14469,123.738,4,1
m3,1,0,5,0.83,0.000,40.000,0.000,125.7377,-123.6528,289.9730,339.3882,-17.1033,-168.9033,-293.8767,-1.77534,-2.77289,-2.22283,124.024,4,1
m3,1,0,6,1.026,0.000,40.000,0.000,130.8434,-124.0668,288.3853,340.1156,-14.3033,-170.5033,-293.9433,-1.80403,-2.77289,-2.20330,123.665,4,1
m3,1,0,7,1.234,0.000,40.000,0.000,128.7179,-128.1190,287.1977,339.8019,-15.4700,-167.5033,-295.2433,-1.74664,-2.69658,-2.12637,123.498,4,1
m3,1,0,8,1.43,0.000,40.000,0.000,127.8182,-125.9825,290.0918,341.1192,-15.4033,-169.4700,-295.6433,-1.73748,-2.72039,-2.16239,123.818,4,1
m3,1,0,9,1.625,0.000,40.000,0.000,126.6291,-125.5882,287.4732,338.3018,-15.9367,-166.2367,-294.2100,-1.77961,-2.76313,-2.21490,123.977,4,1
m3,1,0,10,1.833,0.000,40.000,0.000,128.3457,-123.6927,287.8610,338.5801,-15.4033,-168.6033,-293.2100,-1.77656,-2.74298,-2.19353,123.870,4,1
